TITLE,DATE,SELLING_PRICE,SHIPPING_PRICE,TOTAL_PRICE
"6470  2016 Topps Archives #129 Mike Trout  ANGELS CARD ", 2021-04-19, 2, 0, 2
"6465  2018 Bowman #1 Mike Trout  ANGELS CARD ", 2021-04-19, 2, 0, 2
"5647  2018 Diamond Kings #70 Mike Trout  ANGELS CARD ", 2021-04-19, 2, 0, 2
"6483  2016 Donruss #83A Mike Trout ANGELS CARD ", 2021-04-19, 2, 0, 2
"8931  2018 Topps Heritage New Age Performers #NAP2 Mike Trout ANGELS CARD ", 2021-04-19, 3.5, 0, 3.5
"Mike Trout 2021 Donruss Unleashed Silver SP. Sweet Card! Angels. 🔥🔥", 2021-04-19, 24.96, 0, 24.96
"MIKE TROUT 2020 TOPPS ACTIVE LEADER -U243 &amp; 2020 TOPPS ON BASE LEADER -2 CARDS ", 2021-04-18, 2.77, 0.69, 3.46
"2020 Topps Project #302 Mike Trout OLDMANALA RC Rookie Gem Mint PSA 10 POP 1 1/1", 2021-04-18, 249.99, 5, 254.99
"2020 Topps Project #399 Mike Trout King Sala RP Rookie Gem Mint PSA 10 POP 1 1/1", 2021-04-18, 299.99, 5, 304.99
"2018 Donruss Mike Trout Variation "Millville Meteor" Mint", 2021-04-18, 1.99, 1.5, 3.49
"2021 Topps Series 1 1952 Redux T52 Lot Of 10 Stars Mike Trout Bryce Harper Soto", 2021-04-18, 5.99, 0, 5.99
"2021 Topps Series 1 Red Ice Parallel #259 CHRIS PADDACK Padres 188/199", 2021-04-18, 3.99, 1.25, 5.24
"2015 Topps Baseball Opening Day Hobby Box Factory Sealed MLB", 2021-04-18, 86.97, 0, 86.97
"2017 Topps Fire MIKE TROUT  Fired Up  GOLD PARALLEL # F-5", 2021-04-18, 0.99, 1.99, 2.98
"2020 Topps Turkey Red Mike Trout #TR-46", 2021-04-18, 1.99, 0, 1.99
"2013 Topps #294 Miguel Cabrera Mike Trout Adrian Beltre PSA 10 GEM MINT", 2021-04-18, 150, 4.3, 154.3
"<span class="LIGHT_HIGHLIGHT">New Listing</span>2020 Topps Finest Flashback MIKE TROUT Baseball All-Stars Card #116 ", 2021-04-18, 29.99, 0, 29.99
"2019 Topps Fire Insert Lasting Legacies Blue Chip HANK AARON/MIKE TROUT #12", 2021-04-18, 4, 2.1, 6.1
